catchment_id,du,x,y,sourceName,identifier,comid
cat-797971,u,-79.22194201533685,39.99296449285401,NHDPlus comid,3806899,3806899
cat-272556,d,-81.63022203987205,31.856899141053496,NHDPlus comid,9927368,9927368
cat-272719,u,-81.60912712907928,31.8894536015919,NHDPlus comid,9927346,9927346
cat-3003462,d,-113.73459131892147,44.81089674699644,NHDPlus comid,23512810,23512810
cat-2989264,u,-113.73224588624493,44.84542099929762,NHDPlus comid,23512772,23512772
cat-2190438,d,-102.2622633612704,38.58865956742695,NHDPlus comid,941030342,941030342
cat-2190433,u,-102.3555579901594,38.60566164178958,NHDPlus comid,21244337,21244337
cat-2706289,d,-112.16986976165371,34.69835944439367,NHDPlus comid,20410580,20410580
cat-2706288,u,-112.1448362511051,34.702029365434505,NHDPlus comid,20411264,20411264
cat-1010024,d,-82.00530428731231,36.722522783407165,NHDPlus comid,19752647,19752647
cat-1010029,u,-82.0112395777543,36.7045498259188,NHDPlus comid,19752655,19752655
cat-2178381,d,-95.04986381713913,36.19188007457247,NHDPlus comid,21772677,21772677
cat-2178383,u,-95.06023711698772,36.22217580066148,NHDPlus comid,21772675,21772675
cat-2608083,d,-108.88220904728593,38.77629799780251,NHDPlus comid,18370206,18370206
cat-2608082,u,-108.83895202814098,38.76821632596593,NHDPlus comid,18370242,18370242
cat-1813078,d,-110.00375755205604,45.80654633579706,NHDPlus comid,4365538,4365538
cat-1813073,u,-110.20421444398622,45.749373148606,NHDPlus comid,4365606,4365606
cat-1866167,d,-113.7018947592356,48.69335062981889,NHDPlus comid,9306142,9306142
cat-1866169,u,-113.69643829622656,48.66930235880593,NHDPlus comid,9306182,9306182
cat-1819276,d,-108.09622117380697,46.07082575300049,NHDPlus comid,7192407,7192407
cat-1819285,u,-108.25986126655052,46.10508107873402,NHDPlus comid,7192265,7192265
cat-2714154,d,-109.37127326422925,33.28826471400801,NHDPlus comid,21322733,21322733
cat-2714153,u,-109.39074791416355,33.25974944413716,NHDPlus comid,21325463,21325463
cat-1002702,d,-88.17207696473209,35.22029281540951,NHDPlus comid,19548590,19548590
cat-1002695,u,-88.20600414543367,35.162650062018926,NHDPlus comid,19548968,19548968
cat-2522257,d,-104.31247782873574,29.66259328969841,NHDPlus comid,309085,309085
cat-2522262,u,-104.340424540766,29.73179639621053,NHDPlus comid,309049,309049
cat-1561471,d,-105.4724169072852,40.00889204270863,NHDPlus comid,2889422,2889422
cat-1561473,u,-105.49511760864316,40.00440217665252,NHDPlus comid,2889420,2889420
cat-473509,d,-84.39365023425209,33.33535237015268,NHDPlus comid,6415522,6415522
cat-474868,u,-84.3046528761047,33.360820100824846,NHDPlus comid,6413270,6413270
cat-1862228,d,-100.1857203546401,43.23557678719985,NHDPlus comid,11652720,11652720
cat-1862212,u,-100.16142864765632,43.24924736253451,NHDPlus comid,11653720,11653720
cat-798616,d,-79.58734796691431,39.366691301472834,NHDPlus comid,3774585,3774585
cat-798618,u,-79.5645359422452,39.39698358168522,NHDPlus comid,3774545,3774545
cat-1534542,d,-96.52304855507862,39.02765784017061,NHDPlus comid,18841486,18841486
cat-1534557,u,-96.6191511481346,39.00613389548541,NHDPlus comid,18841596,18841596
cat-1578976,d,-95.18049924451674,38.373952814215166,NHDPlus comid,10124312,10124312
cat-1578983,u,-95.23133567928284,38.31163751986413,NHDPlus comid,10124656,10124656
